iter	Passed	Remaining
1126	6563	22554
1127	6571	22557
1128	6575	22544
1129	6578	22528
1130	6582	22517
1131	6585	22503
1132	6589	22489
1133	6593	22477
1134	6598	22468
1135	6602	22456
1136	6606	22446
1137	6610	22435
1138	6619	22438
1139	6622	22423
1140	6625	22409
1141	6632	22406
1142	6636	22393
1143	6640	22382
1144	6644	22372
1145	6649	22361
1146	6653	22351
1147	6656	22334
1148	6659	22319
1149	6661	22302
1150	6664	22286
1151	6668	22273
1152	6671	22260
1153	6674	22243
1154	6677	22229
1155	6681	22218
1156	6690	22221
1157	6693	22209
1158	6698	22199
1159	6702	22187
1160	6706	22175
1161	6709	22160
1162	6711	22144
1163	6715	22131
1164	6718	22115
1165	6722	22104
1166	6728	22100
1167	6731	22086
1168	6736	22075
1169	6740	22065
1170	6745	22058
1171	6749	22046
1172	6754	22038
1173	6759	22027
1174	6764	22019
1175	6769	22010
1176	6772	21997
1177	6776	21987
1178	6780	21974
1179	6784	21964
1180	6788	21952
1181	6794	21945
1182	6798	21934
1183	6803	21927
1184	6806	21914
1185	6809	21898
1186	6813	21885
1187	6815	21870
1188	6818	21855
1189	6822	21844
1190	6827	21835
1191	6831	21824
1192	6835	21811
1193	6841	21809
1194	6849	21810
1195	6853	21797
1196	6858	21789
1197	6862	21778
1198	6864	21762
1199	6867	21748
1200	6870	21734
1201	6874	21720
1202	6881	21718
1203	6887	21714
1204	6892	21705
1205	6894	21690
1206	6900	21683
1207	6906	21678
1208	6911	21670
1209	6913	21655
1210	6920	21652
1211	6923	21640
1212	6927	21628
1213	6931	21615
1214	6933	21600
1215	6938	21592
1216	6942	21581
1217	6948	21574
1218	6956	21577
1219	6959	21562
1220	6961	21547
1221	6965	21534
1222	6971	21529
1223	6975	21519
1224	6978	21503
1225	6984	21500
1226	6988	21490
1227	6996	21491
1228	7003	21488
1229	7009	21485
1230	7017	21484
1231	7021	21474
1232	7026	21468
1233	7037	21476
1234	7040	21462
1235	7044	21453
1236	7048	21441
1237	7052	21430
1238	7055	21416
1239	7058	21401
1240	7062	21391
1241	7064	21376
1242	7070	21371
1243	7079	21374
1244	7136	21523
1245	7139	21509
1246	7142	21495
1247	7146	21485
1248	7150	21473
1249	7153	21459
1250	7155	21444
1251	7159	21432
1252	7162	21417
1253	7165	21405
1254	7170	21397
1255	7173	21384
1256	7178	21374
1257	7181	21362
1258	7185	21351
1259	7192	21350
1260	7196	21337
1261	7199	21326
1262	7202	21312
1263	7210	21311
1264	7213	21298
1265	7218	21289
1266	7221	21275
1267	7229	21278
1268	7232	21264
1269	7238	21258
1270	7242	21247
1271	7247	21240
1272	7250	21226
1273	7253	21215
1274	7257	21203
1275	7262	21194
1276	7269	21192
1277	7274	21185
1278	7278	21176
1279	7284	21171
1280	7289	21161
1281	7294	21155
1282	7298	21144
1283	7302	21132
1284	7305	21121
1285	7313	21122
1286	7317	21110
1287	7320	21098
1288	7325	21090
1289	7332	21087
1290	7340	21087
1291	7344	21077
1292	7347	21065
1293	7353	21060
1294	7356	21048
1295	7360	21037
1296	7363	21022
1297	7366	21008
1298	7369	20996
1299	7372	20983
1300	7376	20971
1301	7381	20964
1302	7390	20967
1303	7393	20956
1304	7398	20947
1305	7404	20942
1306	7408	20933
1307	7411	20921
1308	7420	20924
1309	7423	20911
1310	7427	20899
1311	7430	20887
1312	7434	20875
1313	7440	20870
1314	7444	20860
1315	7452	20861
1316	7456	20853
1317	7462	20847
1318	7465	20834
1319	7468	20821
1320	7471	20807
1321	7476	20800
1322	7480	20790
1323	7483	20777
1324	7488	20769
1325	7496	20770
1326	7503	20768
1327	7506	20756
1328	7510	20746
1329	7516	20742
1330	7524	20740
1331	7533	20745
1332	7537	20734
1333	7543	20729
1334	7546	20718
1335	7553	20714
1336	7560	20714
1337	7571	20722
1338	7574	20709
1339	7579	20701
1340	7582	20690
1341	7586	20680
1342	7591	20670
1343	7596	20664
1344	7601	20657
1345	7607	20653
1346	7611	20642
1347	7616	20633
1348	7620	20625
1349	7631	20633
1350	7636	20624
1351	7639	20614
1352	7651	20623
1353	7657	20620
1354	7663	20613
1355	7666	20602
1356	7669	20588
1357	7671	20574
1358	7676	20565
1359	7679	20554
1360	7689	20559
1361	7695	20554
1362	7700	20547
1363	7705	20539
1364	7710	20533
1365	7716	20527
1366	7726	20533
1367	7730	20524
1368	7734	20514
1369	7739	20505
1370	7745	20501
1371	7749	20491
1372	7753	20481
1373	7756	20469
1374	7760	20458
1375	7765	20451
1376	7769	20442
1377	7774	20433
1378	7777	20422
1379	7785	20423
1380	7789	20412
1381	7795	20407
1382	7805	20414
1383	7812	20412
1384	7819	20408
1385	7821	20395
1386	7827	20390
1387	7830	20376
1388	7833	20365
1389	7843	20369
1390	7848	20364
1391	7851	20351
1392	7857	20344
1393	7861	20336
1394	7868	20335
1395	7874	20329
1396	7879	20321
1397	7882	20309
1398	7886	20299
1399	7889	20288
1400	7895	20283
1401	7899	20272
1402	7904	20265
1403	7911	20262
1404	7915	20253
1405	7918	20241
1406	7922	20230
1407	7927	20223
1408	7932	20215
1409	7934	20202
1410	7939	20195
1411	7943	20185
1412	7950	20182
1413	7958	20182
1414	7965	20180
1415	7967	20167
1416	7972	20159
1417	7975	20145
1418	7978	20134
1419	7983	20127
1420	7991	20128
1421	7997	20122
1422	8002	20115
1423	8006	20106
1424	8010	20097
1425	8013	20084
1426	8016	20072
1427	8020	20063
1428	8025	20055
1429	8035	20061
1430	8042	20058
1431	8045	20047
1432	8053	20047
1433	8057	20038
1434	8061	20026
1435	8064	20014
1436	8069	20008
1437	8074	19999
1438	8077	19989
1439	8080	19976
1440	8084	19966
1441	8090	19962
1442	8159	20113
1443	8163	20103
1444	8167	20093
1445	8169	20080
1446	8172	20066
1447	8175	20054
1448	8177	20040
1449	8180	20027
1450	8183	20016
1451	8187	20006
1452	8194	20004
1453	8201	20001
1454	8208	19999
1455	8213	19991
1456	8216	19979
1457	8229	19992
1458	8235	19986
1459	8241	19981
1460	8249	19982
1461	8255	19978
1462	8264	19980
1463	8268	19971
1464	8273	19963
1465	8277	19954
1466	8287	19959
1467	8295	19958
1468	8299	19948
1469	8304	19941
1470	8307	19928
1471	8310	19918
1472	8317	19914
1473	8321	19907
1474	8325	19895
1475	8331	19890
1476	8340	19893
1477	8356	19912
1478	8362	19907
1479	8364	19894
1480	8367	19882
1481	8371	19871
1482	8378	19869
1483	8383	19862
1484	8386	19851
1485	8393	19847
1486	8397	19839
1487	8400	19827
1488	8403	19815
1489	8407	19806
1490	8415	19806
1491	8420	19799
1492	8425	19790
1493	8429	19782
1494	8436	19778
1495	8441	19772
1496	8449	19772
1497	8455	19767
1498	8461	19761
1499	8465	19752
1500	8472	19749
1501	8479	19747
1502	8486	19745
1503	8491	19739
1504	8499	19737
1505	8507	19738
1506	8511	19729
1507	8515	19718
1508	8518	19707
1509	8526	19707
1510	8536	19710
1511	8539	19698
1512	8544	19691
1513	8550	19687
1514	8556	19681
1515	8560	19673
1516	8563	19660
1517	8570	19659
1518	8573	19648
1519	8576	19635
1520	8579	19623
1521	8584	19616
1522	8589	19610
1523	8601	19618
1524	8605	19610
1525	8610	19601
1526	8614	19592
1527	8619	19585
1528	8622	19575
1529	8626	19565
1530	8631	19557
1531	8638	19554
1532	8648	19558
1533	8654	19553
1534	8659	19546
1535	8663	19537
1536	8670	19534
1537	8674	19525
1538	8683	19528
1539	8689	19523
1540	8698	19524
1541	8705	19522
1542	8713	19522
1543	8716	19510
1544	8720	19502
1545	8726	19496
1546	8729	19484
1547	8732	19473
1548	8735	19462
1549	8745	19466
1550	8751	19460
1551	8757	19456
1552	8764	19452
1553	8771	19449
1554	8776	19443
1555	8781	19436
1556	8784	19425
1557	8787	19413
1558	8790	19402
1559	8793	19391
1560	8796	19379
1561	8801	19373
1562	8812	19378
1563	8816	19369
1564	8820	19359
1565	8823	19348
1566	8827	19338
1567	8830	19327
1568	8839	19329
1569	8843	19321
1570	8851	19319
1571	8859	19319
1572	8862	19308
1573	8867	19300
1574	8873	19297
1575	8877	19287
1576	8880	19276
1577	8891	19281
1578	8895	19272
1579	8900	19264
1580	8905	19259
1581	8910	19252
1582	8914	19243
1583	8917	19230
1584	8919	19218
1585	8924	19210
1586	8927	19199
1587	8933	19195
1588	8938	19186
1589	8940	19175
1590	8944	19164
1591	8948	19156
1592	8956	19154
1593	8958	19142
1594	8962	19133
1595	8965	19122
1596	8968	19110
1597	8973	19103
1598	8975	19091
1599	8981	19085
1600	8986	19078
1601	8989	19068
1602	8993	19059
1603	8997	19049
1604	9003	19044
1605	9009	19038
1606	9012	19028
1607	9015	19017
1608	9018	19006
1609	9021	18995
1610	9024	18984
1611	9032	18982
1612	9036	18974
1613	9042	18969
1614	9047	18962
1615	9051	18953
1616	9054	18943
1617	9059	18935
1618	9065	18930
1619	9068	18921
1620	9072	18911
1621	9082	18915
1622	9086	18907
1623	9092	18901
1624	9098	18897
1625	9102	18888
1626	9106	18878
1627	9109	18868
1628	9113	18858
1629	9117	18850
1630	9121	18841
1631	9200	18986
1632	9204	18977
1633	9206	18965
1634	9209	18954
1635	9212	18942
1636	9214	18930
1637	9217	18918
1638	9228	18924
1639	9240	18931
1640	9252	18938
1641	9258	18933
1642	9264	18928
1643	9267	18918
1644	9273	18913
1645	9276	18902
1646	9278	18889
1647	9281	18879
1648	9284	18867
1649	9289	18860
1650	9293	18852
1651	9296	18840
1652	9301	18834
1653	9305	18825
1654	9309	18815
1655	9316	18813
1656	9322	18808
1657	9326	18799
1658	9330	18789
1659	9332	18777
1660	9338	18772
1661	9342	18763
1662	9345	18751
1663	9352	18750
1664	9356	18741
1665	9360	18732
1666	9362	18720
1667	9370	18719
1668	9373	18708
1669	9376	18697
1670	9380	18688
